"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Conditions_relating_to_prequalification_","Maintenance_and_General_Works__Group","Traffic_Management_Services__contract__Groups","Traffic_Control_Systems_Supply___Maintenance__a","PrequalificationCategories","Letter"
"Austraffic**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a1d21bf15092aa20ca257d720008356a?OpenDocument","Fresh","2025-09-12 10:39:22","Appian Way Enterprises Pty Ltd&nbsp","Austraffic&nbsp","Unit 1, 56 Centre WayCROYDON SOUTH  VIC   3136&nbsp","&quot;As Above&quot; &nbsp","0431 131 313&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, Service, Services, size, SOUTH, Speed, src, static, strong, style, supplierdetails, Survey, surveys, Surveys","A"
"Australian Barriers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/22f9a8ea8f5b3b61ca257f24001757ba?OpenDocument","Fresh","2025-09-12 10:39:23","Australian Barriers Pty Ltd&nbsp","&nbsp","44 Lindon CourtTULLAMARINE  VIC   3043&nbsp","&quot;As Above&quot; &nbsp","0400 768 714&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","A"
"Australian Barriers Pty. Ltd.","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/45949cd248f9b936ca258b030017956d?OpenDocument","Fresh","2025-09-12 10:39:24","Australian Barriers Pty. Ltd.&nbsp","&nbsp","44 Lindon CourtTullamarine, VIC   3043&nbsp","&quot;As Above&quot; &nbsp","0400 768 714&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Australian Ecosystems Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/dbf0b975bde5f76eca257ce0007e837e?OpenDocument","Fresh","2025-09-12 10:39:24","Australian Ecosystems Pty Ltd&nbsp","&nbsp","Unit 2 / 49 Bertie StreetPort Melbourne, VIC   3207&nbsp","PO Box 583Port Melbourne, VIC 3207&nbsp","&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","A"
"Australian Geotechnical Testing**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/961191e9d6b504beca2581d4001deda6?OpenDocument","Fresh","2025-09-12 10:39:25","K S Talbot Pty Ltd&nbsp","Australian Geotechnical Testing&nbsp","2/1109 Raglan PdeWarrnambool Vic   3280&nbsp","PO Box 1018Warrnambool 3280&nbsp","0419 349 906&nbsp","[email&#160;protected][email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Senior, Service, size, src, static, strong, style, supplierdetails","A"
"Australian Safety &amp; Environmental Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/58d238a0ad6d2fa5ca2578330018335d?OpenDocument","Fresh","2025-09-12 10:39:26","Workvision Pty Ltd&nbsp","Australian Safety & Environmental Services&nbsp","Suite 408, 1 Princess StKEW  VIC   3101&nbsp","&quot;As Above&quot; &nbsp","0402 481 389&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: Safety, screen, script, scripts, Section, Service, Services, size, src, St, static, strong, style, Suite, supplierdetails","A"
"Australian Traffic Control (ATC) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/75c736891d008593ca2573ca001683d6?OpenDocument","Fresh","2025-09-12 10:39:26","Australian Traffic Control (ATC) Pty Ltd&nbsp","&nbsp","3 97-107 Canterbury RoadKilsyth VIC   3137&nbsp","PO  BOX  661LILYDALE  VIC 3140&nbsp","0408 575 694&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","A"
"Avard Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/08565c08c2843d1aca257ede00239dcc?OpenDocument","Fresh","2025-09-12 10:39:27","Avard Civil Pty Ltd&nbsp","&nbsp","132 Strickland RoadBENDIGO  VIC   3550&nbsp","As above &nbsp","0402 859 696&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: B1, F015, R1, screen, script, scripts, Section, Service, size, src, static, Strickland, strong, style, supplierdetails","A"
"Axent Global**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/66fdc1e405e8d897ca256d5800020e97?OpenDocument","Fresh","2025-09-12 10:39:27","Axent Holdings Pty Ltd&nbsp","Axent Global&nbsp","3 Torteval PlaceCLAYTON  VIC   3168&nbsp","PO BOX  463 MULGRAVE NORTH  VIC 3170&nbsp","0467 600 223&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:","Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SOED - Supply of On-Road Electronic Devices","Categories: screen, script, scripts, SCTV, SE, Section, see, Service, Services, Sign, size, SOED, src, static, strong, style, superseded, supplierdetails, Supply, Systems","A"
"Axiom Consulting Engineers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e8e39656056d1f2fca258331001a6c70?OpenDocument","Fresh","2025-09-12 10:39:28","Axiom Consulting Engineers Pty Ltd&nbsp","&nbsp","6 Webster StreetBALLARAT  VIC   3350&nbsp","&quot;As Above&quot; &nbsp","0422 328 214&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","A"
"Axis Infrastructure Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6d3204f9867f693aca258a29000bc757?OpenDocument","Fresh","2025-09-12 10:39:29","Axis Infrastructure Pty Ltd&nbsp","&nbsp","1A Randor StreetCAMPBELLFIELD  VIC   3061&nbsp","&quot;As Above&quot; &nbsp","0403 704 608&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: B3, F005, R2, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","A"
"A&amp;Y Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3917f577d3125750ca2584b70014589e?OpenDocument","Fresh","2025-09-12 10:39:29","A&Y Associates Pty Ltd&nbsp","&nbsp","5/16 Network DriveTRUGANINA VIC   3029&nbsp","&quot;As Above&quot; &nbsp","0449 288 338&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Aldridge Traffic Systems Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/59717a6f363f5046ca257788000976a9?OpenDocument","Fresh","2025-09-12 10:39:30","Aldridge Traffic Systems Pty Ltd (Under Voluntary Administration)&nbsp","&nbsp","31 Brisbane StreetELTHAM   VIC   3095&nbsp","PO Box 828 ELTHAM   VIC 3095&nbsp","0439 807 862&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SOED - Supply of On-Road Electronic Devices, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation","Categories: screen, script, scripts, Section, Service, Services, Signals, size, SOED, src, SSLC, static, STCE, Street, strong, STS, STS1, style, supplierdetails, Supply, Systems","A"
